path,class
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0707.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0256.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0942.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0689.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0680.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0180.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0199.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0683.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0299.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0394.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0040.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0254.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0830.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0390.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0427.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0431.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0249.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0243.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0475.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0777.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0360.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0367.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0412.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0571.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0408.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0519.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0599.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0070.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0628.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0761.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0816.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0694.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0443.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0988.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0859.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0404.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0097.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0841.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0990.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0305.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0578.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0811.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0263.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0231.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0272.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0541.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0006.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0411.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0476.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0449.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0763.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0567.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0624.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0873.png,0
/home/vsilai/Documents/eecs442_final/data/fake_imgs/seed0902.png,0
